Nombre de Registro,Origen,ID,Nivel,Categoria de Tarea,Registrado,Equipo,Usuario,Mensaje,EventRecordID
System,Microsoft-Windows-Kernel-Power,107,Información,102,2025-01-21 23:35:36,CamiloMM,,El sistema se reanudó del estado de suspensión.,25961
System,Microsoft-Windows-Kernel-Power,42,Información,64,2025-01-21 23:35:34,CamiloMM,,El sistema está entrando en suspensión.  Motivo de la suspensión: Application API,25960
System,Microsoft-Windows-Kernel-Power,40,Información,36,2025-01-21 23:35:33,CamiloMM,,El controlador \Driver\ACPI del dispositivo  detuvo la transición de energía.,25959
System,Microsoft-Windows-Kernel-Power,40,Información,36,2025-01-21 23:35:33,CamiloMM,,El controlador \Driver\ACPI del dispositivo  detuvo la transición de energía.,25958
System,Microsoft-Windows-Kernel-Power,40,Información,36,2025-01-21 23:35:33,CamiloMM,,El controlador \Driver\ACPI del dispositivo  detuvo la transición de energía.,25957
System,Microsoft-Windows-Kernel-Power,40,Información,36,2025-01-21 23:35:33,CamiloMM,,El controlador \Driver\ACPI del dispositivo  detuvo la transición de energía.,25956
System,Microsoft-Windows-Kernel-Power,566,Información,268,2025-01-21 23:35:32,CamiloMM,NT AUTHORITY\SYSTEM,La sesión del sistema ha cambiado de 23 a 24.  Motivo InputAccelerometer   BootId: 46,25955
System,Microsoft-Windows-Kernel-Power,187,Información,243,2025-01-21 23:35:32,CamiloMM,NT AUTHORITY\SYSTEM,El proceso de modo de usuario intentó cambiar el estado del sistema llamando a las API SetSuspendState o SetSystemPowerState.,25954
System,Win32k,267,Información,Ninguno,2025-01-21 23:35:32,CamiloMM,,La comprobación de control de calidad de hardware táctil se realizó correctamente.,25953
System,Microsoft-Windows-Winlogon,7002,Información,1102,2025-01-21 23:35:32,CamiloMM,NT AUTHORITY\SYSTEM,Notificación de cierre de sesión de usuario para el Programa para la mejora de la experiencia del usuario,25952
System,Microsoft-Windows-IsolatedUserMode,2,Información,Ninguno,2025-01-21 23:35:29,CamiloMM,CAMILOMM\monsa,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.,25951
System,Service Control Manager,7040,Información,Ninguno,2025-01-21 22:59:50,CamiloMM,NT AUTHORITY\SYSTEM,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio automático a inicio por solicitud.,25950
System,Service Control Manager,7040,Información,Ninguno,2025-01-21 22:08:34,CamiloMM,NT AUTHORITY\SYSTEM,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio por solicitud a inicio automático.,25949
System,Microsoft-Windows-Kernel-General,16,Información,Ninguno,2025-01-21 22:08:32,CamiloMM,NT AUTHORITY\SYSTEM,El historial de accesos en el subárbol \??\C:\ProgramData\Packages\AcerIncorporated.NitroSenseV31_48frkmn4z8aw4\S-1-5-21-854866677-1834114146-3748758031-1001\SystemAppData\Helium\Cache\ba1564a716a2b5ba_COM15.dat se borró mediante la actualización de 1 claves y la creación de 1 páginas modificadas.,25948
System,Microsoft-Windows-Kernel-General,16,Información,Ninguno,2025-01-21 22:08:32,CamiloMM,NT AUTHORITY\SYSTEM,El historial de accesos en el subárbol \??\C:\Users\monsa\AppData\Local\Packages\AcerIncorporated.NitroSenseV31_48frkmn4z8aw4\SystemAppData\Helium\UserClasses.dat se borró mediante la actualización de 1 claves y la creación de 1 páginas modificadas.,25947
System,Microsoft-Windows-Kernel-General,16,Información,Ninguno,2025-01-21 22:08:32,CamiloMM,NT AUTHORITY\SYSTEM,El historial de accesos en el subárbol \??\C:\Users\monsa\AppData\Local\Packages\AcerIncorporated.NitroSenseV31_48frkmn4z8aw4\SystemAppData\Helium\User.dat se borró mediante la actualización de 6 claves y la creación de 1 páginas modificadas.,25946
System,Microsoft-Windows-DistributedCOM,10016,Advertencia,Ninguno,2025-01-21 22:08:24,CamiloMM,CAMILOMM\monsa,La configuración de permisos específico de la aplicación no concede el permiso Activación Local para la aplicación de servidor COM con CLSID  {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  y APPID  {15C20B67-12E7-4BB6-92BB-7AFF07997402}  al usuario CamiloMM\monsa con SID (S-1-5-21-854866677-1834114146-3748758031-1001) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID No disponible (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes.,25945
System,Microsoft-Windows-IsolatedUserMode,5,Información,Ninguno,2025-01-21 22:08:23,CamiloMM,CAMILOMM\monsa,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.,25944
System,Microsoft-Windows-IsolatedUserMode,2,Información,Ninguno,2025-01-21 22:08:23,CamiloMM,CAMILOMM\monsa,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.,25943
System,Microsoft-Windows-DNS-Client,1014,Advertencia,1014,2025-01-21 20:54:46,CamiloMM,NT AUTHORITY\NETWORK SERVICE,La resolución de nombres para el nombre t-ring-fdv2.msedge.net agotó el tiempo de espera después de que ninguno de los servidores DNS configurados respondiera. PID de cliente 18316.,25942
System,Microsoft-Windows-Kernel-General,16,Información,Ninguno,2025-01-21 20:09:41,CamiloMM,NT AUTHORITY\SYSTEM,El historial de accesos en el subárbol \??\C:\Users\monsa\AppData\Local\Packages\microsoft.windowscommunicationsapps_8wekyb3d8bbwe\Settings\settings.dat se borró mediante la actualización de 77 claves y la creación de 12 páginas modificadas.,25941
System,Service Control Manager,7040,Información,Ninguno,2025-01-21 18:47:47,CamiloMM,NT AUTHORITY\SYSTEM,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio automático a inicio por solicitud.,25940
System,Service Control Manager,7040,Información,Ninguno,2025-01-21 18:45:14,CamiloMM,NT AUTHORITY\SYSTEM,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio por solicitud a inicio automático.,25939
System,Microsoft-Windows-DNS-Client,1014,Advertencia,1014,2025-01-21 18:44:24,CamiloMM,NT AUTHORITY\NETWORK SERVICE,La resolución de nombres para el nombre t-ring-fdv2.msedge.net agotó el tiempo de espera después de que ninguno de los servidores DNS configurados respondiera. PID de cliente 18316.,25938
System,Microsoft-Windows-DistributedCOM,10016,Advertencia,Ninguno,2025-01-21 18:42:18,CamiloMM,CAMILOMM\monsa,La configuración de permisos específico de la aplicación no concede el permiso Activación Local para la aplicación de servidor COM con CLSID  {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  y APPID  {15C20B67-12E7-4BB6-92BB-7AFF07997402}  al usuario CamiloMM\monsa con SID (S-1-5-21-854866677-1834114146-3748758031-1001) en la dirección LocalHost (con LRPC) que se ejecuta en el contenedor de aplicaciones con SID SpotifyAB.SpotifyMusic_1.255.235.0_x64__zpdnekdrzrea0 (No disponible). Este permiso de seguridad se puede modificar mediante la herramienta administrativa Servicios de componentes.,25937
System,Service Control Manager,7040,Información,Ninguno,2025-01-21 18:39:55,CamiloMM,NT AUTHORITY\SYSTEM,El tipo de inicio del servicio Servicio de transferencia inteligente en segundo plano (BITS) se cambió de inicio automático a inicio por solicitud.,25936
System,Microsoft-Windows-Kernel-Power,105,Información,100,2025-01-21 18:38:46,CamiloMM,NT AUTHORITY\SYSTEM,Cambio de fuente de energía.,25935
